"1","0","Sportswear","Sportswear keywords","Description Sportswear"
"2","1","Nike","Nike keywords","Description Nike"
"3","1","Under Armour","Under Armour keywords","Description Under Armour"
"4","1","Adidas","Adidas keywords","Description Adidas"
"5","1","Puma","Puma keywords","Description Puma"
"6","1","ASICS ","ASICS  keywords","Description ASICS "
"7","0","Mens","Mens keywords","Description Mens"
"8","7","Fendi","Fendi keywords","Description Fendi"
"9","7","Guess","Guess keywords","Description Guess"
"10","7","Valentino","Valentino keywords","Description Valentino"
"11","7","Dior","Dior keywords","Description Dior"
"12","7","Versace","Versace keywords","Description Versace"
"13","7","Armani","Armani keywords","Description Armani"
"14","7","Prada","Prada keywords","Description Prada"
"15","7","Dolce and Gabbana","Dolce and Gabbana keywords","Description Dolce and Gabbana"
"16","7","Chanel","Chanel keywords","Description Chanel"
"17","7","Gucci","Gucci keywords","Description Gucci"
"18","0","Womens","Womens keywords","Description Womens"
"19","18","Fendi","Fendi keywords","Description Fendi"
"20","18","Guess","Guess keywords","Description Guess"
"21","18","Valentino","Valentino keywords","Description Valentino"
"22","18","Dior","Dior keywords","Description Dior"
"23","18","Versace","Versace keywords","Description Versace"
"24","0","Kids","Kids keywords","Description Kids"
"25","0","Fashion","Fashion keywords","Description Fashion"
"26","0","Households","Households keywords","Description Households"
"27","0","Interiors ","Interiors  keywords","Description Interiors "
"28","0","Clothing","Clothing keywords","Description Clothing"
"29","0","Bags","Bags keywords","Description Bags"
"30","0","Shoes","Shoes keywords","Description Shoes"
