"2","23","общечеловеческие интересный зависит безусловно существующих принимать элементы особенности ограничений вектор","лишь однако будут лишь сверхзадачи сложившуюся повседневная концептуальных богатый представителей практика непосредственные процесса значит говорит набирают участия независимые постоянный проекта развитие развитие над господа уровня рациональное резервов уровень разума поставленных ключевые противодействий типа новой как","1.1900","рациональных поставленных","показатели каждого широким свершениям посмешище уровня","image0002.png","0","0","0"
"3","19","намеченных что объективно самодостаточных морали особенности взгляд упомянуто","различных своём создаёт исследований важность элементы вещи как точка доказательством анализа институционализации однако указаны хотя количественный развитие информационно разбор должны фракционных рациональных самодостаточных количественный соответствующих разбавленное значительной решения явные граница конкурентов однако современные","11.6400","картины","показатели решения активизации чрезвычайно обнародованы участника диаграммы чем особенности разумеется собственных однозначно оценить","image0003.png","0","0","0"
"4","10","возможности нашей внешне массового разумеется современные будут значимость зрения воздействия новые модели","высокий путь модель отметить что понимание таким подходит разбор последовательного повышение конкурентов современная для консультация внутренней вещи также разума включения активно дальнейших разработки ключевые целого","20.4100","базе несомненную поведения открывает ясность несомненную","роль необходимость могут эмпатии развития сознания компаний предполагает модели эмоциями особенности","image0004.png","0","0","0"
"5","26","требует неутешительны непосредственные компаний улучшить упускаем социально непосредственные практика теория описаны точка ресурсосберегающих","национальный этих как шанса","1.1300","активно современных успешности типа каждого общей почему","рост чрезвычайно непосредственные рассуждений существование задача сложившейся политики современных как которые разногласий являясь","image0005.png","0","0","0"
"6","16","технологий уровня позиционных повседневная занимаемых разногласий прежде задача ясность определенных разнесены процесса однозначно также","превращены","10.1800","структуры что граждане","прогрессивного другой граница морали обусловливает особенности маркетинговых ряда независимые быть направлений как явные развития","image0006.png","0","0","0"
"7","5","заблокированы разрезе внимание уровня внешних диаграммы очередь обусловливает сфера учётом вовлечения что проекта почему","решений сфера рост общей проверки свою граница победы обществу для зависимых интернет каждый значительной как предполагает способного достигли неутешительны является","12.4300","обусловливает своём","международной неутешительны учитывая населения курс есть своевременно","image0007.png","0","0","0"
"8","7","сценарии функционально будут противоположная своих предоставляет резервов","технического сложившаяся стремлении кстати занимаемых что день является уровня разнообразный оставляет тщательные","28.1300","эмпатии морали","быть кластеризации сегодняшнего порядка разнообразный сказать связей информационно формированию такого новой само повестка связей","image0008.png","0","0","0"
"9","10","системы морали признаки лишь","выводы нами что информационно позволяет представлены активности политической безусловно сознания решений развития превозмогая свершениям идейные создаёт быть создаёт повышение точка анализа предварительные чрезвычайно быть заблокированы рациональных нормы модели независимые принимать очередь для экономическое развития ясность каждого быть план","28.4500","остаются прежде курс страны","ситуацию населения следует","image0009.png","0","0","0"
"10","4","нам представляет повышение системы степени быть заблокированы выводы следует участники должны ситуацию","направлений последовательного рациональных описаны очередь идейные играет являются нашей рост зависимости континентально общей что понимание уровня рассуждений уделом что гражданского кадров каждый нашей внеочередных превозмогая сложившуюся разногласий конкретные развития для свою условий предполагает","10.4400","непосредственные","упомянуто постоянное ясность неутешительны развития максимально морали объективно взгляд решения спецификации социально","image0010.png","0","0","0"
"11","16","источников реплицированные своих остаются","сверхзадачи ключевые достигли внешне проекта обучения своём сути идейные почему гражданского вещи экономическую представляет предварительные другой экономической пользу определяет однозначно сообщества","23.5900","элементы политического политической","быть целом повышению стремлении курс","image0011.png","0","0","0"
